  Lab_7.cpp
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(5,38): warning C4305: инициализация: усечение из "double" в "float"
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(26,9): error C2065: fdiv: необъявленный идентификатор
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(28,9): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "fstp"
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(28,9): error C2065: fstp: необъявленный идентификатор
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(28,14): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "r"
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(28,14): error C2065: r: необъявленный идентификатор
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(30,9): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "fld"
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(30,9): error C2065: fld: необъявленный идентификатор
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(30,13): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "a"
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(32,9): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "fldz"
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(32,9): error C2065: fldz: необъявленный идентификатор
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(34,9): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "fstcw"
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(34,9): error C2065: fstcw: необъявленный идентификатор
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(34,15): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "cwRegister"
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(36,9): error C2143: синтаксическая ошибка: отсутствие ";" перед "!"
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(38,9): error C2143: синтаксическая ошибка: отсутствие ";" перед "!"
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(40,9): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "fldcw"
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(38,9): warning C4552: "!": результат выражения не используется
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(40,9): error C2065: fldcw: необъявленный идентификатор
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(40,15): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "cwRegister"
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(42,9): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "fdiv"
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(42,9): error C2065: fdiv: необъявленный идентификатор
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(43,9): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "fstp"
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(43,9): error C2065: fstp: необъявленный идентификатор
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(43,14): error C2146: синтаксическая ошибка: отсутствие ";" перед идентификатором "r"
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(43,14): error C2065: r: необъявленный идентификатор
C:\Users\times up\source\repos\Lab_7\Lab_7\Lab_7.cpp(44,5): error C2143: синтаксическая ошибка: отсутствие ";" перед "}"
